,Brands,Models,Prices,Storage(GB),RAM,RAM Type,Size,Processor,Operating System,Warranty,Ratings
59,Lenovo,Lenovo IdeaPad 3 ,33490.0,256,8,DDR4,15.6,Intel Core i3 Processor (10th Gen),Windows 11 ,2.0,4.3
60,HP,HP Pavilion ,52999.0,512,8,DDR4,14.0,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 ,1.0,4.5
61,acer,acer Aspire 3 ,34390.0,512,8,DDR4,15.6,AMD Ryzen 3 Dual Core Processor,64 bit Windows 11 ,1.0,4.1
62,DELL,DELL Inspiron ,37490.0,256,8,DDR4,15.6,AMD Ryzen 3 Dual Core Processor,64 bit Windows 11 ,1.0,4.3
63,Lenovo,Lenovo IdeaPad ,37990.0,512,8,DDR4,15.6,Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2.0,4.2
64,HP,HP 15s ,38999.0,1000,8,DDR4,15.6,AMD Ryzen 3 Dual Core Processor,64 bit Windows 10 ,1.0,4.3
65,MSI,MSI GF63 Thin ,72990.0,512,16,DDR4,15.6,Intel Core i7 Processor (10th Gen),64 bit Windows 10 ,2.0,4.3
66,ASUS,ASUS VivoBook K15 OLED (2022) ,62990.0,1000,16,DDR4,15.6,Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1.0,4.4
67,Lenovo,Lenovo Legion 5 ,133999.0,512,16,DDR4,15.6,Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1.0,4.6
68,DELL,DELL Vostro ,37690.0,1000,4,DDR4,14.0,Intel Core i3 Processor (10th Gen),64 bit Windows 11 ,1.0,4.2
69,Lenovo,Lenovo ,29990.0,1000,8,DDR4,15.6,Intel Core i3 Processor (10th Gen),64 bit Windows 11 ,2.0,4.5
70,HP,HP ,50999.0,512,8,DDR4,15.6,Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1.0,3.7
71,Lenovo,Lenovo IdeaPad ,45990.0,512,8,DDR4,14.0,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1.0,4.2
72,APPLE,APPLE 2020 Macbook Air ,105990.0,512,8,DDR4,13.3,Apple M1 Processor,Mac OS ,2.0,4.6
73,MSI,MSI Katana GF66 ,69990.0,512,16,DDR4,15.6,Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,2.0,4.3
74,Lenovo,Lenovo IdeaPad 3 ,33490.0,256,8,DDR4,15.6,Intel Core i3 Processor (10th Gen),Windows 11 ,1.0,4.3
75,Avita,Avita SATUS ULTIMUS S111 ,21490.0,128,4,DDR4,14.1,Intel Celeron Dual Core Processor,64 bit Windows 11 ,1.0,3.7
76,HP,HP ,41990.0,512,8,DDR4,15.6,Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1.0,4.2
77,HP,HP ,47990.0,512,8,DDR4,15.6,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 ,1.0,4.7
78,acer,acer Aspire 3 ,39690.0,512,8,DDR4,15.6,AMD Ryzen 5 Quad Core Processor,64 bit Windows 11 ,1.0,4.5
79,acer,acer Aspire Vero(Green PC ) ,58390.0,512,8,DDR4,15.6,Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1.0,4.3
80,DELL,DELL Inspiron ,54790.0,256,8,DDR4,14.0,Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1.0,4.1
81,ASUS,ASUS VivoBook K15 OLED (2022) ,45000.0,512,8,DDR4,15.6,Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2.0,4.2
82,MSI,MSI GF63 Thin ,59990.0,512,8,DDR4,15.6,Intel Core i5 Processor (10th Gen),64 bit Windows 10 ,1.0,4.3
