,Brands,Models,Prices,ROM,RAM,Size,Processor,Operating System,Warranty,Ratings
416,Lenovo,Lenovo Legion 5 ,"₹70,999",256 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i5 Processor (10th Gen),64 bit Windows 10 ,2 Year Onsite�Warranty,
417,ASUS,ASUS Vivobook Pro 15 OLED ,"₹89,990",512 GB SSD,16 GB DDR4,(15.6 inch),AMD Ryzen 7 Octa Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,
418,MSI,MSI ,"₹1,24,990",512 GB SSD,16 GB DDR4,(15.6 inch),Intel Core i7 Processor (12th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,
419,Lenovo,Lenovo IdeaPad 3 ,"₹33,490",1 TB HDD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (10th Gen),Windows 11 ,2 Year Onsite Warranty,
420,MSI,MSI Modern 14 ,"₹80,590",512 GB SSD,8 GB DDR4,(14 inch),Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1 Year Warranty,
421,MSI,MSI Prestige 15 ,"₹1,13,490",512 GB SSD,16 GB DDR4,(15.6 inch),Intel Core i7 Processor (10th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,
422,DELL,DELL Vostro ,"₹41,990",1 TB SSD,8 GB DDR4,(14 inches),Intel Core i3 Processor (11th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,
423,Lenovo,Lenovo IdeaPad ,"₹37,990",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 YEAR,
424,HP,HP Pavilion x360 ,"₹49,347",512 GB SSD,8 GB DDR4,(14 inch),Intel Core i3 Processor (10th Gen),64 bit Windows 10 ,1 Year Warranty,
425,ASUS,ASUS ROG Zephyrus G15 ,"₹1,57,990",512 GB SSD,16 GB DDR5,(15.6 inch),AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 ,,
426,Lenovo,Lenovo Ideapad Slim 3i (2021) ,"₹36,988",1 TB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (10th Gen),64 bit Windows 11 ,,
427,Lenovo,Lenovo Legion 5 ,"₹1,33,999",512 GB SSD,16 GB DDR4,(15.6 inch),Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,,
428,ASUS,ASUS ZenBook Duo 14 (2021) Touch Panel ,"₹99,990",512 GB SSD,8 GB LPDDR4X,(14 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,,
429,ASUS,ASUS ROG Zephyrus ,"₹1,54,990",,16 GB DDR4,(16 inch),Intel Core i7 Processor (11th Gen),Windows 10 ,,
430,Lenovo,Lenovo ,"₹39,990",,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (11th Gen),Windows 11 ,,
431,Lenovo,Lenovo IdeaPad ,"₹45,990",,8 GB DDR4,(14 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,,
