,Brands,Models,Prices,ROM,RAM,Size,Processor,Operating System,Warranty,Ratings
93,ASUS,ASUS VivoBook K15 OLED (2022) ,"₹53,990",1 TB HDD,8 GB DDR4,(15.6 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.2
94,APPLE,APPLE MacBook Air ,"₹1,04,990",256 GB SSD,16 GB DDR4,(13.3 inch),Apple M1 Processor,Mac OS ,1 Year Onsite Warranty,3.9
95,Lenovo,Lenovo IdeaPad ,"₹57,990",512 GB SSD,8 GB DDR4,(15.6 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1 Year International Travelers Warranty,4.4
96,ASUS,ASUS VivoBook 15 (2022) ,"₹31,990",256 GB SSD,4 GB DDR4,(15.6 inch),Intel Core i3 Processor (11th Gen),Windows 10 ,1 Year Onsite Warranty,4.7
97,ASUS,ASUS VivoBook 15 (2022) ,"₹43,990",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i5 Processor (10th Gen),64 bit Windows 11 ,1 Year Warranty,4.3
98,acer,acer Nitro 5 ,"₹94,990",1 TB HDD,16 GB DDR4,(15.6 inch),AMD Ryzen 7 Octa Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,4.2
99,HP,HP Pavilion x360 ,"₹48,990",256 GB SSD,8 GB DDR4,(14 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.2
100,ASUS,ASUS ,"₹33,490",256 GB SSD,8 GB DDR4,(15.6 inch),AMD Ryzen 3 Quad Core Processor,Windows 11 ,1 Year Onsite Warranty,4.7
101,HP,HP Pavilion Gaming ,"₹65,000",1 TB HDD,8 GB DDR4,(15.6 inches),Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1 Year International Travelers Warranty,4.2
102,ASUS,ASUS VivoBook K15 OLED (2022) ,"₹40,990",256 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,4.3
103,HP,HP 14s ,"₹49,990",512 GB SSD,8 GB DDR4,(14 Inch),Intel Core i5 Processor (10th Gen),64 bit Windows 10 ,1 Year Limited Hardware Warranty,4.2
104,acer,acer Swift 3 ,"₹49,990",512 GB SSD,8 GB LPDDR4X,(14 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,4.4
105,ASUS,ASUS (2022) ,"₹22,990",128 GB SSD,4 GB DDR4,(11.6 Inch),Intel Celeron Dual Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.5
106,DELL,DELL Vostro ,"₹40,790",1 TB HDD,4 GB DDR4,(14 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,3.8
107,ASUS,ASUS TUF Gaming F17 (2022) ,"₹89,990",512 GB SSD,16 GB DDR5,(17.3 Inch),Intel Core i5 Processor (12th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.3
108,Infinix,Infinix X1 Slim Series ,"₹39,990",512 GB SSD,8 GB LPDDR4X,(14 Inch),Intel Core i5 Processor (10th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.5
109,Lenovo,Lenovo IdeaPad Slim 3i (2021) ,"₹37,990",256 GB SSD,8 GB DDR4,(14 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,4.2
110,DELL,DELL Vostro ,"₹57,990",512 GB SSD,8 GB DDR4,(14 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,4.5
111,ASUS,ASUS ,"₹39,990",512 GB SSD,8 GB DDR4,(14 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.7
112,HP,HP Pavilion ,"₹56,490",512 GB SSD,8 GB DDR4,(15.6 Inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 ,1 Year International Travelers Warranty,4.2
113,ASUS,ASUS ROG Flow X13 (2021) ,"₹99,990",1 TB SSD,16 GB LPDDR4X,(13.4 Inch),AMD Ryzen 9 Octa Core Processor,64 bit Windows 10 ,1 Year onsite warranty,4.4
114,HP,HP Pavilion Gaming ,"₹70,990",1 TB HDD,16 GB DDR4,(15.6 inch),AMD Ryzen 7 Octa Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,4.5
115,acer,acer ,"₹29,890",256 GB SSD,8 GB DDR4,(14 inch),AMD Ryzen 3 Dual Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.5
116,ASUS,ASUS VivoBook 14 ,"₹28,990",256 GB SSD,4 GB DDR4,(14 Inch),Intel Pentium Silver Processor,64 bit Windows 11 ,18+6 Months Warranty,4.2
117,ASUS,ASUS VivoBook 15 ,"₹25,990",256 GB SSD,4 GB DDR4,(15.6 inch),AMD Ryzen 3 Dual Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,4.3
118,Infinix,Infinix INBook X1 Neo Series ,"₹24,990",256 GB SSD,8 GB LPDDR4X,(14 inch),Intel Celeron Quad Core Processor,64 bit Windows 11 ,18+6 Months Warranty,4.5
119,Avita,Avita PURA APU ,"₹26,490",256 GB SSD,8 GB DDR4,(14 inches),APU Dual Core A6 Processor,64 bit Windows 10 ,1 Year Onsite Warranty,3.7
120,Infinix,Infinix INBook X1 Neo Series ,"₹24,990",256 GB SSD,8 GB LPDDR4X,(14 inch),Intel Celeron Quad Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.2
121,Avita,Avita PURA APU ,"₹26,490",256 GB SSD,8 GB DDR4,(14 inches),APU Dual Core A6 Processor,64 bit Windows 10 ,1 Year onsite warranty,4.2
122,ASUS,ASUS VivoBook 15 ,"₹25,990",256 GB SSD,4 GB DDR4,(15.6 inch),AMD Ryzen 3 Dual Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,3.7
123,Avita,Avita SATUS ULTIMUS S111 ,"₹21,490",128 GB SSD,4 GB DDR4,(14.1 Inch),Intel Celeron Dual Core Processor,64 bit Windows 11 ,1 Year Onsite Manufacturing Warranty,4.2
124,HP,HP Pavilion ,"₹56,990",512 GB SSD,8 GB DDR4,(15.6 Inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 ,1 Year International Travelers Warranty,4.5
125,DELL,DELL Vostro ,"₹49,190",512 GB SSD,8 GB DDR4,(14 inches),AMD Ryzen 5 Quad Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,3.7
126,ASUS,ASUS Vivobook 15 ,"₹54,990",1 TB HDD,8 GB DDR4,(15.6 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1 Year onsite warranty,4.3
127,acer,acer Aspire Vero(Green PC ) ,"₹58,390",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.1
128,ASUS,ASUS VivoBook Flip 14 ,"₹49,990",512 GB SSD,8 GB LPDDR4X,(14 inch),Intel Core i3 Processor (11th Gen),Windows 11 ,2 Years Warranty,4.7
129,ASUS,ASUS VivoBook Flip 14 ,"₹62,990",512 GB SSD,8 GB LPDDR4X,(14 Inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.7
130,Lenovo,Lenovo Thinkpad ,"₹56,990",512 GB SSD,8 GB DDR4,(14 inch),AMD Ryzen 5 Hexa Core Processor,64 bit DOS ,1 Year Onsite Warranty,4.4
131,Lenovo,Lenovo IdeaPad 3 ,"₹33,490",256 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (10th Gen),Windows 11 ,1 Year Onsite Warranty,4.8
132,HP,HP Pavilion ,"₹60,990",512 GB SSD,16 GB DDR4,(15.6 Inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 ,2 Year Onsite�Warranty,4.4
133,ASUS,ASUS VivoBook K15 OLED (2021) ,"₹61,990",1 TB HDD,16 GB DDR4,(15.6 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1 Year International Travelers Warranty,4.3
134,Lenovo,Lenovo IdeaPad Gaming ,"₹53,990",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1 Year On-Site Warranty,3.7
135,Lenovo,Lenovo ,"₹34,490",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (10th Gen),64 bit Windows 11 ,1 Year onsite warranty,4.3
136,acer,acer Extensa ,"₹31,990",256 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.2
137,MSI,MSI Alpha 15 ,"₹91,990",1 TB SSD,16 GB DDR4,(15.6 inch),AMD Ryzen 7 Octa Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,4.3
138,ASUS,ASUS TUF Gaming A17 ,"₹71,990",512 GB SSD,8 GB DDR4,(17.3 Inch),AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 ,1 YEAR,4.5
139,ASUS,ASUS ,"₹25,990",1 TB HDD,4 GB DDR4,(15.6 inch),Intel Pentium Quad Core Processor,64 bit Windows 10 ,1 Year Warranty,4.4
140,acer,acer Predator Helios 300 ,"₹97,990",1 TB HDD,16 GB DDR4,(15.6 inch),Intel Octa Core i7 Processor (10th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,3.7
141,ASUS,ASUS ,"₹65,990",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i5 Processor (10th Gen),Windows 10 ,2 Year Warranty,4.5
142,APPLE,APPLE 2020 Macbook Air ,"₹86,990",256 GB SSD,8 GB DDR4,(13.3 inch),Apple M1 Processor,Mac OS ,1 Year Limited Warranty,4.7
143,Lenovo,Lenovo IdeaPad ,"₹45,990",512 GB SSD,8 GB DDR4,(14 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,2 Year Onsite�Warranty,4.6
144,DELL,DELL Inspiron ,"₹41,890",256 GB SSD,8 GB DDR4,(14.96 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.5
145,MSI,MSI GF65 Thin ,"₹79,990",512 GB SSD,16 GB DDR4,(15.6 inch),Intel Hexa Core i5 Processor (10th Gen),64 bit Windows 10 ,1 Year International Travelers Warranty,3.7
146,APPLE,APPLE 2021 Macbook Pro ,"₹3,05,990",1 TB SSD,32 GB Unified Memory RAM,(16.2 inch),Apple M1 Max Processor,Mac OS ,1 Year Onsite Warranty,4.7
147,Lenovo,Lenovo IdeaPad 3 ,"₹39,490",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2 Years Warranty,4.7
148,HP,HP ,"₹32,990",256 GB SSD,8 GB DDR4,(15.6 mm),AMD Ryzen 3 Dual Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.3
149,acer,acer Aspire 5 ,"₹50,990",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1 Year On-Site Warranty,4.2
150,HP,HP ,"₹39,990",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year On site Manufacturing warranty,4.6
151,Lenovo,Lenovo IdeaPad 3 ,"₹33,490",256 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (10th Gen),Windows 11 ,1 Year Warranty,4.3
152,DELL,DELL Vostro ,"₹41,390",512 GB SSD,8 GB DDR4,(14 Inch),Intel Core i3 Processor (10th Gen),64 bit Windows 10 ,1 Year Onsite warranty,4.4
153,MSI,MSI Modern 14 ,"₹41,490",512 GB SSD,8 GB DDR4,(14 inch),Intel Core i5 Processor (10th Gen),64 bit Windows 10 ,1 Year Onsite Hardware Service,4.3
154,ASUS,ASUS Vivobook 15 ,"₹36,990",512 GB SSD,8 GB DDR4,(15.6 inch),AMD Ryzen 3 Dual Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.3
155,Lenovo,Lenovo Legion 5 ,"₹1,33,999",512 GB SSD,16 GB DDR4,(15.6 inch),Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1 Year Warranty,4.4
156,DELL,DELL Vostro ,"₹39,990",256 GB SSD,8 GB DDR4,(14 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,3.8
157,DELL,DELL ,"₹69,490",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.2
158,RedmiBook,RedmiBook 15 ,"₹34,999",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (11th Gen),Windows 10 ,1 Year Onsite Warranty,4.5
159,Lenovo,Lenovo IdeaPad ,"₹45,990",512 GB SSD,8 GB DDR4,(14 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,4.2
160,Avita,Avita SATUS ULTIMUS S111 ,"₹21,490",128 GB SSD,4 GB DDR4,(14.1 Inch),Intel Celeron Dual Core Processor,64 bit Windows 11 ,1 Year On-Site Warranty,4.6
161,HP,HP Pavilion ,"₹52,499",512 GB SSD,8 GB DDR4,(14 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1 Year Limited Warranty,4.1
162,DELL,DELL Inspiron ,"₹39,690",1 TB HDD,8 GB DDR4,(14.96 Inch),AMD Ryzen 3 Dual Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.4
163,DELL,DELL Inspiron ,"₹62,990",512 GB SSD,16 GB DDR4,(14 inches),Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1 Year Warranty,3.4
164,MSI,MSI Delta 15 AMD Advantage Edition ,"₹1,14,990",1 TB SSD,16 GB DDR4,(15.6 inch),AMD Ryzen 9 Octa Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.4
165,APPLE,APPLE 2022 MacBook Pro ,"₹1,29,900",256 GB SSD,8 GB Unified Memory RAM,(13.3 Inch),Apple M2 Processor,Mac OS ,1 Year Onsite Warranty,4.7
166,ASUS,ASUS ROG Flow X13 ,"₹1,13,990",1 TB SSD,32 GB LPDDR4X,(13.4 inch),AMD Ryzen 9 Octa Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,4.8
167,Lenovo,Lenovo IdeaPad 3 ,"₹36,990",256 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,4.2
168,ASUS,ASUS ,"₹46,500",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i5 Processor (10th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,4.4
169,ASUS,ASUS Zenbook 14 ScreenPad Touch Panel ,"₹74,990",512 GB SSD,8 GB LPDDR4X,(14 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,4.7
170,ASUS,ASUS VivoBook Ultra ,"₹50,990",512 GB SSD,8 GB DDR4,(14 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,4.4
171,Avita,Avita SATUS ULTIMUS S111 ,"₹21,490",128 GB SSD,4 GB DDR4,(14.1 Inch),Intel Celeron Dual Core Processor,64 bit Windows 11 ,2 Year Onsite�Warranty,4.3
172,HP,HP ,"₹56,990",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i5 Processor (12th Gen),64 bit Windows 11 ,1 Year On site Manufacturing warranty,4.3
173,ASUS,ASUS ROG Strix G15 (2022) ,"₹1,03,990",1 TB SSD,16 GB DDR5,(15.6 Inch),AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.5
174,HP,HP Pavilion ,"₹73,190",512 GB SSD,16 GB DDR4,(15.6 Inch),Intel Core i5 Processor (12th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.1
175,Lenovo,Lenovo IdeaPad 3 ,"₹39,490",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2 Years Warranty,4.8
176,ASUS,ASUS Vivobook 15 ,"₹42,990",512 GB SSD,16 GB DDR4,(15.6 inch),AMD Ryzen 7 Quad Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.8
177,DELL,DELL Vostro ,"₹41,490",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (10th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.3
178,HP,HP HP Envy Intel EVO ,"₹91,490",1 TB SSD,16 GB DDR4,(13.3 inch),Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,4.3
179,Lenovo,Lenovo IdeaPad 3 ,"₹33,490",256 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (10th Gen),Windows 11 ,1 Year Warranty,4.2
180,DELL,DELL Vostro ,"₹41,590",256 GB SSD,8 GB DDR4,(14 inch),AMD Ryzen 5 Quad Core Processor,64 bit Windows 11 ,1 Year On site Manufacturing warranty,4.3
181,HP,HP 15s ,"₹33,990",1 TB HDD,8 GB DDR4,(15.6 inch),AMD Ryzen 3 Dual Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,4.5
182,DELL,DELL Inspiron ,"₹61,890",512 GB SSD,8 GB DDR4,(15.6 Inch),AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 ,1 Year Warranty,4.1
183,Lenovo,Lenovo Legion 5 ,"₹1,33,999",512 GB SSD,16 GB DDR4,(15.6 inch),Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1 Year Warranty,4.2
184,ASUS,ASUS Vivobook 15 ,"₹58,390",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i5 Processor (12th Gen),64 bit Windows 11 ,1 year Onsite Warranty,4.6
185,HP,HP ,"₹42,990",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.1
186,Lenovo,Lenovo Ideapad Gaming 3 ,"₹72,990",512 GB SSD,16 GB DDR4,(15.6 inch),AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 ,1 Year Warranty,4.2
187,Lenovo,Lenovo IdeaPad ,"₹45,990",512 GB SSD,8 GB DDR4,(14 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,4.4
188,Infinix,Infinix INBook X1 ,"₹39,990",512 GB SSD,8 GB LPDDR4X,(14 inch),Intel Core i5 Processor (10th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.1
189,Infinix,Infinix X1 Slim Series ,"₹44,990",512 GB SSD,16 GB LPDDR4X,(14 Inch),Intel Core i5 Processor (10th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.3
190,Lenovo,Lenovo IdeaPad Gaming 3i ,"₹88,990",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1 Year International Travelers Warranty,4.4
191,DELL,DELL Inspiron ,"₹62,990",512 GB SSD,16 GB DDR4,(14 inches),Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,4.2
192,Nokia,Nokia PureBook X14 ,"₹47,990",512 GB SSD,8 GB DDR4,(14 inch),Intel Core i5 Processor (10th Gen),64 bit Windows 10 ,1 Year On-Site Warranty,4.3
193,ASUS,ASUS Vivobook 15 ,"₹39,980",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,4.4
194,acer,acer Extensa 15 ,"₹29,790",256 GB SSD,4 GB DDR4,(15.6 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year International Warranty,3.9
195,Avita,Avita SATUS ULTIMUS S111 ,"₹21,490",128 GB SSD,4 GB DDR4,(14.1 Inch),Intel Celeron Dual Core Processor,64 bit Windows 11 ,2 Year Onsite�Warranty,4.2
196,MSI,MSI Modern 14 ,"₹43,990",512 GB SSD,8 GB DDR4,(14 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,4.1
197,ASUS,ASUS ROG Strix G15 ,"₹78,990",512 GB SSD,8 GB DDR4,(15.6 Inch),AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.5
198,ASUS,ASUS ,"₹98,990",512 GB SSD,16 GB DDR4,(16.6 inch),AMD Ryzen 9 Octa Core Processor,Windows 11 ,1 Year Onsite Warranty,4.6
199,Lenovo,Lenovo IdeaPad 3 ,"₹39,490",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2 Years Warranty,4.3
200,HP,HP ,"₹56,990",512 GB SSD,8 GB DDR4,(14 inch),AMD Ryzen 7 Octa Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,4.3
201,DELL,DELL Vostro ,"₹56,290",1 TB HDD,8 GB DDR4,(14 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,3 Year Onsite�Warranty,3.8
202,DELL,DELL Inspiron ,"₹47,090",512 GB SSD,8 GB DDR4,(15.6 Inch),AMD Ryzen 5 Dual Core Processor,64 bit Windows 11 ,1 Year onsite warranty,4.1
203,Lenovo,Lenovo IdeaPad 3 ,"₹33,490",256 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (10th Gen),Windows 11 ,2 Year Onsite�Warranty,4.3
204,HP,HP Pavilion Aero ,"₹64,488",512 GB SSD,16 GB DDR4,(13.3 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1 Year onsite Warranty,4.3
205,Lenovo,Lenovo IdeaPad 5 Pro ,"₹64,990",512 GB SSD,16 GB DDR4,(14 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1 Year Onsite�Warranty,4.4
206,HP,HP ,"₹37,990",512 GB SSD,8 GB DDR4,(14 Inch),AMD Ryzen 3 Quad Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.4
207,Lenovo,Lenovo IdeaPad ,"₹37,990",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year Warranty,4.5
208,HP,HP Pavilion ,"₹65,990",512 GB SSD,16 GB DDR4,(14 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,3.4
209,Lenovo,Lenovo IdeaPad 1 ,"₹19,990",256 GB SSD,4 GB DDR4,(11.6 Inch),Intel Celeron Dual Core Processor,64 bit Windows 11 ,1 Year onsite warranty,4.5
210,Infinix,Infinix INBook X1 Neo Series ,"₹24,990",256 GB SSD,8 GB LPDDR4X,(14 inch),Intel Celeron Quad Core Processor,64 bit Windows 11 ,3 Years Warranty,4.2
211,Lenovo,Lenovo Legion 5 ,"₹1,33,999",512 GB SSD,16 GB DDR4,(15.6 inch),Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1 Year Warranty,4.3
212,ASUS,ASUS VivoBook Flip 14 Touch Panel ,"₹46,990",512 GB SSD,4 GB DDR4,(14 inch),Intel Core i3 Processor (10th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,4.2
213,ASUS,ASUS ,"₹32,585",256 GB SSD,4 GB DDR4,(14 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2 Year On-Site Warranty,4.7
214,Lenovo,Lenovo Yoga 6 ,"₹77,990",512 GB SSD,16 GB DDR4,(13.3 inch),AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.6
215,Lenovo,Lenovo IdeaPad ,"₹45,990",512 GB SSD,8 GB DDR4,(14 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,4.2
216,HP,HP 14s ,"₹28,990",256 GB SSD,8 GB DDR4,(14 inch),Intel Celeron Dual Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,3.4
217,MSI,MSI Katana GF66 ,"₹87,990",1 TB SSD,16 GB DDR4,(15.6 inches),Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1 Year Onsite warranty,4.2
218,ASUS,ASUS (2022) ,"₹29,990",128 GB SSD,4 GB DDR4,(11.6 Inch),Intel Celeron Dual Core Processor,64 bit Windows 11 ,1 Year Warranty,4.3
219,Avita,Avita SATUS ULTIMUS S111 ,"₹21,490",128 GB SSD,4 GB DDR4,(14.1 Inch),Intel Celeron Dual Core Processor,64 bit Windows 11 ,2 Year Onsite�Warranty,4.4
220,DELL,DELL Inspiron ,"₹39,290",1 TB HDD,8 GB DDR4,(14.96 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Hardware Service,4.3
221,ASUS,ASUS VivoBook Flip 14 ,"₹46,990",256 GB SSD,8 GB LPDDR4X,(14 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.1
222,Lenovo,Lenovo Legion 5 ,"₹60,990",1 TB HDD,8 GB DDR4,(15.6 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1 Year Manufacturing Warranty,3.6
223,Lenovo,Lenovo IdeaPad 3 ,"₹39,490",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2 Years Warranty,4.7
224,DELL,DELL ,"₹74,490",512 GB SSD,16 GB DDR4,(15.6 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.6
225,Lenovo,Lenovo ,"₹54,990",512 GB SSD,8 GB DDR4,(14 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,4.3
226,ASUS,ASUS Vivobook Ultra K15 ,"₹45,490",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,3.8
227,Lenovo,Lenovo IdeaPad 3 ,"₹33,490",256 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (10th Gen),Windows 11 ,2 Year Onsite�Warranty,4.4
228,ASUS,ASUS ROG Strix G15 Advantage Edition ,"₹1,54,990",1 TB SSD,16 GB DDR4,(15.6 inch),AMD Ryzen 9 Octa Core Processor,Windows 11 ,1 Year Onsite Warranty,4.3
229,ASUS,ASUS TUF Gaming A17 ,"₹79,990",512 GB SSD,16 GB DDR4,(17.3 inch),AMD Ryzen 7 Octa Core Processor,Windows 10 ,1 year Onsite Warranty,4.4
230,HP,HP Pavilion ,"₹68,990",512 GB SSD,16 GB DDR4,(14 inch),Intel Core i5 Processor (12th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.2
231,Lenovo,Lenovo IdeaPad ,"₹37,990",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year Warranty,4.5
232,DELL,DELL ,"₹78,990",512 GB SSD,8 GB DDR4,(14 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.2
233,Infinix,Infinix INBook X1 Pro ,"₹50,990",512 GB SSD,16 GB LPDDR4X,(14 Inch),Intel Core i7 Processor (10th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.5
234,ASUS,ASUS VivoBook 14 ,"₹53,690",512 GB SSD,8 GB DDR4,(14 inch),Intel Core i5 Processor (8th Gen),64 bit Windows 10 ,1 YEAR,4.7
